ID,ORIGINZONE_3_ID,DEST_ZONE_3_ID,TRIP_PURPOSE_ID,p_transport_car_trips,p_transport_car_vehicles
11402186,107160015,130000102,1,5,4
20424884,133190202,112020202,3,123,66
19441572,111010803,107040209,3,32,16
19987359,124030204,127010701,3,4,3
11020175,107070304,107070304,1,6213266,0
20048925,126020208,126020205,3,29619,11943
20383886,133160301,107020401,3,2,1
12467157,133150103,107120001,1,2,2
17342588,124020204,107010407,2,25,19
19439996,111010802,107080016,3,19,9
19299903,107160018,119000000,3,7,4
15971970,106000502,107010201,2,2,1
19214920,107130211,112060202,3,11,7
11934358,118140103,104000202,1,16,13
19952386,124010101,107010407,3,39,26
20564912,104000700,133140403,3,3,1
15896028,102030304,107100512,2,25,14
18734460,107020208,107090403,3,57,34
20778651,145020400,118120301,3,3,1
19838028,118140110,124030203,3,2,1
11591772,112020201,124020201,1,53,43
12189688,126040106,107090401,1,8,5
16945915,112060302,118140302,2,2,1
17477386,126060103,107090108,2,3,2
14303507,112060203,112060205,4,364662,298904
19805738,118130403,128040102,3,4,2
19085010,107100404,108000301,3,130,77
20941041,153020700,126030302,3,107,43
16443232,107100305,126030205,2,2,2
20216716,128030104,105000000,3,38,15
18778701,107020413,115030103,3,3,2
20176341,128010103,107050002,3,7,3
17498753,127010104,110060200,2,257,158
16728767,110030000,127010805,2,359,177
20196213,128020103,112050103,3,5,2
20017972,126010103,118140103,3,7,3
10940593,107020710,107020302,1,986,808
20309075,133120102,101020102,3,2,1
18901338,107070202,107020106,3,623,369
16265097,107070112,104000201,2,389,251
18893657,107070111,110050103,3,16,10
16492192,107110108,104000507,2,84,54
12388097,130000104,118140304,1,14,10
19514827,112030002,107160018,3,261,117
20272725,129030301,124030204,3,7,4
19702565,115010001,107010109,3,50,22
10610696,102020504,133140401,1,5,4
18968874,107090203,133150300,3,5,3
19171132,107120002,112060208,3,10,6
17435425,126030205,107160020,2,2,1
17194898,118140103,102030405,2,6,3
11234691,107110111,112070102,1,5,4
20110534,126060104,124030306,3,6,2
16917071,112050301,133180203,2,2,1
20925825,153010600,107100302,3,4,2
11307119,107130202,107010310,1,86,71
10648785,102030502,107090309,1,32,26
19412466,110060107,107090413,3,7,3
20131327,127010105,112040301,3,43,24
17764529,133170103,107100111,2,4,3
17458587,126040203,126020105,2,481,223
16130164,107020402,126010208,2,2,2
18683953,107010409,107010113,3,841,498
18611877,106000702,126060203,3,198,80
20920929,153010300,107090416,3,38,15
19805325,118130403,112060104,3,21,11
16926280,112060103,112060204,2,68069,37401
16403591,107100108,107070302,2,1086,700
19712353,115020202,107020121,3,38,17
19414259,110060108,107160014,3,6,3
18726204,107020203,107020403,3,36,21
20868808,148010800,107010309,3,5,2
10926305,107020701,107140014,1,102,83
10746044,107010203,107070110,1,5183,4249
17789698,133190103,133170202,2,133083,77374
12191445,126040107,107130211,1,40,29
18960530,107090108,124030207,3,13,8
19652932,113020101,113020502,3,192,102
12536011,133190204,133140402,1,11376,9325
15999664,107010111,107020708,2,8790,5671
18854260,107040108,107010110,3,77,46
10895189,107020506,107020404,1,584,479
16956102,112070105,114000205,2,3,1
16104168,107020208,124010202,2,18,11
